mode,n,seed,convergence_ms,delivery_rate,gossip_sends,control_sends,total_sends,overhead_sends,n_receivers,n_gossip_messages
hybrid,10,1234,73,0.9,46,78,124,33,9,1
hybrid,10,137,98,0.9,35,92,127,28,9,1
hybrid,10,271,125,0.9,37,78,115,35,9,1
hybrid,10,42,116,1.0,38,95,133,30,10,1
hybrid,10,999,79,1.0,39,83,122,26,10,1
hybrid,20,1234,121,1.0,85,191,276,78,20,1
hybrid,20,137,159,0.95,92,137,229,90,19,1
hybrid,20,271,148,0.95,85,152,237,86,19,1
hybrid,20,42,153,1.0,94,186,280,91,20,1
hybrid,20,999,98,1.0,70,200,270,66,20,1
hybrid,50,1234,258,1.0,195,483,678,254,50,1
hybrid,50,137,275,0.96,188,496,684,254,48,1
hybrid,50,271,159,1.0,144,380,524,145,50,1
hybrid,50,42,214,0.96,165,470,635,213,48,1
hybrid,50,999,196,1.0,167,441,608,183,50,1
push,10,1234,76,0.9,46,87,133,30,9,1
push,10,137,96,0.9,59,94,153,50,9,1
push,10,271,111,0.9,69,82,151,49,9,1
push,10,42,88,0.9,48,97,145,34,9,1
push,10,999,74,1.0,59,93,152,38,10,1
push,20,1234,196,0.95,109,155,264,97,19,1
push,20,137,144,1.0,127,178,305,126,20,1
push,20,271,158,1.0,99,170,269,107,20,1
push,20,42,113,1.0,108,162,270,78,20,1
push,20,999,114,0.95,128,174,302,106,19,1
push,50,1234,218,0.98,356,436,792,370,49,1
push,50,137,153,1.0,340,388,728,279,50,1
push,50,271,199,1.0,324,421,745,320,50,1
push,50,42,211,0.96,250,426,676,270,48,1
push,50,999,186,1.0,331,405,736,285,50,1
